id,text,type,option
pseudo.pseudo_adds_lightning_damage_to_attacks,Adds # to # Lightning Damage to Attacks,pseudo,
pseudo.pseudo_adds_cold_damage_to_attacks,Adds # to # Cold Damage to Attacks,pseudo,
pseudo.pseudo_adds_fire_damage_to_attacks,Adds # to # Fire Damage to Attacks,pseudo,
pseudo.pseudo_adds_elemental_damage_to_attacks,Adds # to # Elemental Damage to Attacks,pseudo,
pseudo.pseudo_adds_chaos_damage_to_attacks,Adds # to # Chaos Damage to Attacks,pseudo,
pseudo.pseudo_adds_damage_to_attacks,Adds # to # Damage to Attacks,pseudo,
pseudo.pseudo_adds_physical_damage_to_spells,Adds # to # Physical Damage to Spells,pseudo,
pseudo.pseudo_adds_lightning_damage_to_spells,Adds # to # Lightning Damage to Spells,pseudo,
pseudo.pseudo_adds_cold_damage_to_spells,Adds # to # Cold Damage to Spells,pseudo,
pseudo.pseudo_adds_fire_damage_to_spells,Adds # to # Fire Damage to Spells,pseudo,
pseudo.pseudo_adds_elemental_damage_to_spells,Adds # to # Elemental Damage to Spells,pseudo,
pseudo.pseudo_adds_chaos_damage_to_spells,Adds # to # Chaos Damage to Spells,pseudo,
pseudo.pseudo_adds_damage_to_spells,Adds # to # Damage to Spells,pseudo,
pseudo.pseudo_increased_elemental_damage,#% increased Elemental Damage,pseudo,
pseudo.pseudo_increased_lightning_damage,#% increased Lightning Damage,pseudo,
pseudo.pseudo_increased_cold_damage,#% increased Cold Damage,pseudo,
pseudo.pseudo_increased_fire_damage,#% increased Fire Damage,pseudo,
pseudo.pseudo_increased_spell_damage,#% increased Spell Damage,pseudo,
pseudo.pseudo_increased_lightning_spell_damage,#% increased Lightning Spell Damage,pseudo,
pseudo.pseudo_increased_cold_spell_damage,#% increased Cold Spell Damage,pseudo,
pseudo.pseudo_increased_fire_spell_damage,#% increased Fire Spell Damage,pseudo,
pseudo.pseudo_increased_lightning_damage_with_attack_skills,#% increased Lightning Damage with Attack Skills,pseudo,
pseudo.pseudo_increased_cold_damage_with_attack_skills,#% increased Cold Damage with Attack Skills,pseudo,
pseudo.pseudo_increased_fire_damage_with_attack_skills,#% increased Fire Damage with Attack Skills,pseudo,
pseudo.pseudo_increased_elemental_damage_with_attack_skills,#% increased Elemental Damage with Attack Skills,pseudo,
pseudo.pseudo_increased_rarity,#% increased Rarity of Items found,pseudo,
pseudo.pseudo_increased_burning_damage,#% increased Burning Damage,pseudo,
pseudo.pseudo_total_life_regen,# Life Regenerated per Second,pseudo,
pseudo.pseudo_percent_life_regen,#% of Life Regenerated per Second,pseudo,
pseudo.pseudo_physical_attack_damage_leeched_as_life,#% of Physical Attack Damage Leeched as Life,pseudo,
pseudo.pseudo_physical_attack_damage_leeched_as_mana,#% of Physical Attack Damage Leeched as Mana,pseudo,
pseudo.pseudo_increased_mana_regen,#% increased Mana Regeneration Rate,pseudo,
pseudo.pseudo_total_additional_gem_levels,+# total to Level of Socketed Gems,pseudo,
pseudo.pseudo_total_additional_elemental_gem_levels,+# total to Level of Socketed Elemental Gems,pseudo,
pseudo.pseudo_total_additional_fire_gem_levels,+# total to Level of Socketed Fire Gems,pseudo,
pseudo.pseudo_total_additional_cold_gem_levels,+# total to Level of Socketed Cold Gems,pseudo,
pseudo.pseudo_total_additional_lightning_gem_levels,+# total to Level of Socketed Lightning Gems,pseudo,
pseudo.pseudo_total_additional_chaos_gem_levels,+# total to Level of Socketed Chaos Gems,pseudo,
pseudo.pseudo_total_additional_spell_gem_levels,+# total to Level of Socketed Spell Gems,pseudo,
pseudo.pseudo_total_additional_projectile_gem_levels,+# total to Level of Socketed Projectile Gems,pseudo,
pseudo.pseudo_total_additional_bow_gem_levels,+# total to Level of Socketed Bow Gems,pseudo,
pseudo.pseudo_total_additional_melee_gem_levels,+# total to Level of Socketed Melee Gems,pseudo,
pseudo.pseudo_total_additional_minion_gem_levels,+# total to Level of Socketed Minion Gems,pseudo,
pseudo.pseudo_total_additional_strength_gem_levels,+# total to Level of Socketed Strength Gems,pseudo,
pseudo.pseudo_total_additional_dexterity_gem_levels,+# total to Level of Socketed Dexterity Gems,pseudo,
pseudo.pseudo_total_additional_intelligence_gem_levels,+# total to Level of Socketed Intelligence Gems,pseudo,
pseudo.pseudo_total_additional_aura_gem_levels,+# total to Level of Socketed Aura Gems,pseudo,
pseudo.pseudo_total_additional_movement_gem_levels,+# total to Level of Socketed Movement Gems,pseudo,
pseudo.pseudo_total_additional_curse_gem_levels,+# total to Level of Socketed Curse Gems,pseudo,
pseudo.pseudo_total_additional_vaal_gem_levels,+# total to Level of Socketed Vaal Gems,pseudo,
pseudo.pseudo_total_additional_support_gem_levels,+# total to Level of Socketed Support Gems,pseudo,
pseudo.pseudo_total_additional_skill_gem_levels,+# total to Level of Socketed Skill Gems,pseudo,
pseudo.pseudo_total_additional_warcry_gem_levels,+# total to Level of Socketed Warcry Gems,pseudo,
pseudo.pseudo_total_additional_golem_gem_levels,+# total to Level of Socketed Golem Gems,pseudo,
pseudo.pseudo_number_of_enchant_mods,# Enchant Modifiers,pseudo,
pseudo.pseudo_number_of_implicit_mods,# Implicit Modifiers,pseudo,
pseudo.pseudo_searing_implicit_tier,Searing Exarch Implicit Modifier (#),pseudo,"{'options': [{'id': 1, 'text': 'Lesser'}, {'id': 2, 'text': 'Greater'}, {'id': 3, 'text': 'Grand'}, {'id': 4, 'text': 'Exceptional'}, {'id': 5, 'text': 'Exquisite'}, {'id': 6, 'text': 'Perfect'}]}"
pseudo.pseudo_tangled_implicit_tier,Eater of Worlds Implicit Modifier (#),pseudo,"{'options': [{'id': 1, 'text': 'Lesser'}, {'id': 2, 'text': 'Greater'}, {'id': 3, 'text': 'Grand'}, {'id': 4, 'text': 'Exceptional'}, {'id': 5, 'text': 'Exquisite'}, {'id': 6, 'text': 'Perfect'}]}"
pseudo.pseudo_number_of_prefix_mods,# Prefix Modifiers,pseudo,
pseudo.pseudo_number_of_suffix_mods,# Suffix Modifiers,pseudo,
pseudo.pseudo_number_of_affix_mods,# Modifiers,pseudo,
pseudo.pseudo_number_of_crafted_prefix_mods,# Crafted Prefix Modifiers,pseudo,
pseudo.pseudo_number_of_crafted_suffix_mods,# Crafted Suffix Modifiers,pseudo,
pseudo.pseudo_number_of_crafted_mods,# Crafted Modifiers,pseudo,
pseudo.pseudo_number_of_empty_prefix_mods,# Empty Prefix Modifiers,pseudo,
pseudo.pseudo_number_of_empty_suffix_mods,# Empty Suffix Modifiers,pseudo,
pseudo.pseudo_number_of_empty_affix_mods,# Empty Modifiers,pseudo,
pseudo.pseudo_base_defence_percentile,#% Base Defence Percentile,pseudo,
pseudo.pseudo_has_shaper_influence,Has Shaper Influence,pseudo,
pseudo.pseudo_has_elder_influence,Has Elder Influence,pseudo,
pseudo.pseudo_has_crusader_influence,Has Crusader Influence,pseudo,
pseudo.pseudo_has_redeemer_influence,Has Redeemer Influence,pseudo,
pseudo.pseudo_has_hunter_influence,Has Hunter Influence,pseudo,
pseudo.pseudo_has_warlord_influence,Has Warlord Influence,pseudo,
pseudo.pseudo_has_influence_count,Has # Influences,pseudo,
pseudo.pseudo_whispering_incubator_kills,# Incubator Kills (Whispering),pseudo,
pseudo.pseudo_fine_incubator_kills,# Incubator Kills (Fine),pseudo,
pseudo.pseudo_singular_incubator_kills,# Incubator Kills (Singular),pseudo,
pseudo.pseudo_cartographers_incubator_kills,# Incubator Kills (Cartographer's),pseudo,
pseudo.pseudo_otherworldly_incubator_kills,# Incubator Kills (Otherwordly),pseudo,
pseudo.pseudo_abyssal_incubator_kills,# Incubator Kills (Abyssal),pseudo,
pseudo.pseudo_fragmented_incubator_kills,# Incubator Kills (Fragmented),pseudo,
pseudo.pseudo_skittering_incubator_kills,# Incubator Kills (Skittering),pseudo,
pseudo.pseudo_infused_incubator_kills,# Incubator Kills (Infused),pseudo,
pseudo.pseudo_fossilised_incubator_kills,# Incubator Kills (Fossilised),pseudo,
pseudo.pseudo_decadent_incubator_kills,# Incubator Kills (Decadent),pseudo,
pseudo.pseudo_diviners_incubator_kills,# Incubator Kills (Diviner's),pseudo,
pseudo.pseudo_primal_incubator_kills,# Incubator Kills (Primal),pseudo,
pseudo.pseudo_enchanted_incubator_kills,# Incubator Kills (Enchanted),pseudo,
pseudo.pseudo_geomancers_incubator_kills,# Incubator Kills (Geomancer's),pseudo,
pseudo.pseudo_ornate_incubator_kills,# Incubator Kills (Ornate),pseudo,
pseudo.pseudo_timelost_incubator_kills,# Incubator Kills (Time-Lost),pseudo,
pseudo.pseudo_celestial_armoursmiths_incubator_kills,# Incubator Kills (Celestial Armoursmith's),pseudo,
pseudo.pseudo_celestial_blacksmiths_incubator_kills,# Incubator Kills (Celestial Blacksmith's),pseudo,
pseudo.pseudo_celestial_jewellers_incubator_kills,# Incubator Kills (Celestial Jeweller's),pseudo,
pseudo.pseudo_eldritch_incubator_kills,# Incubator Kills (Eldritch),pseudo,
pseudo.pseudo_obscured_incubator_kills,# Incubator Kills (Obscured),pseudo,
pseudo.pseudo_foreboding_incubator_kills,# Incubator Kills (Foreboding),pseudo,
pseudo.pseudo_thaumaturges_incubator_kills,# Incubator Kills (Thaumaturge's),pseudo,
pseudo.pseudo_mysterious_incubator_kills,# Incubator Kills (Mysterious),pseudo,
pseudo.pseudo_gemcutters_incubator_kills,# Incubator Kills (Gemcutter's),pseudo,
pseudo.pseudo_feral_incubator_kills,# Incubator Kills (Feral),pseudo,
pseudo.pseudo_blighted_incubator_kills,# Incubator Kills (Blighted),pseudo,
pseudo.pseudo_morphing_incubator_kills,# Incubator Kills (Morphing),pseudo,
pseudo.pseudo_maddening_incubator_kills,# Incubator Kills (Maddening),pseudo,
pseudo.pseudo_number_of_fractured_mods,# Fractured Modifiers,pseudo,
pseudo.pseudo_number_of_notable_passive_skills,# Notable Passive Skills,pseudo,
pseudo.pseudo_jewellery_elemental_quality,+#% Quality to Elemental Damage Modifiers,pseudo,
pseudo.pseudo_jewellery_caster_quality,+#% Quality to Caster Modifiers,pseudo,
pseudo.pseudo_jewellery_attack_quality,+#% Quality to Attack Modifiers,pseudo,
pseudo.pseudo_jewellery_defense_quality,+#% Quality to Defence Modifiers,pseudo,
pseudo.pseudo_jewellery_resource_quality,+#% Quality to Life and Mana Modifiers,pseudo,
pseudo.pseudo_jewellery_resistance_quality,+#% Quality to Resistance Modifiers,pseudo,
pseudo.pseudo_jewellery_attribute_quality,+#% Quality to Attribute Modifiers,pseudo,
pseudo.pseudo_jewellery_physical_chaos_quality,+#% Quality to Physical and Chaos Damage Modifiers,pseudo,
pseudo.pseudo_jewellery_speed_quality,+#% Quality to Speed Modifiers,pseudo,
pseudo.pseudo_jewellery_critical_quality,+#% Quality to Critical Modifiers,pseudo,
pseudo.pseudo_lake_number_of_islands,Mirrored Tablet has # Islands,pseudo,
pseudo.pseudo_temple_apex,Has Room: Apex of Atzoatl,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_poison_room_1,Has Room: Poison Garden (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_sacrifice_room_1,Has Room: Sacrificial Chamber (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_storm_room_1,Has Room: Tempest Generator (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trap_room_1,Has Room: Trap Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_cartography_room_1,Has Room: Surveyor's Study (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_queens_chambers_1,Has Room: Royal Meeting Room (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_chests_1,Has Room: Storage Room (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_corruption_room_1,Has Room: Corruption Chamber (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_explosives_room_1,Has Room: Explosives Room (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_armour_room_1,Has Room: Armourer's Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_weapon_room_1,Has Room: Sparring Room (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breeding_room_1,Has Room: Guardhouse (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breach_room_1,Has Room: Splinter Research Lab (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_gem_room_1,Has Room: Gemcutter's Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_currency_vault_1,Has Room: Vault (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trinket_room_1,Has Room: Jeweller's Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_workshop_1,Has Room: Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_empowering_room_1,Has Room: Shrine of Empowerment (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_healing_room_1,Has Room: Pools of Restoration (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_minions_1,Has Room: Hatchery (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_fire_1,Has Room: Flame Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_lightning_1,Has Room: Lightning Workshop (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_poison_room_2,Has Room: Cultivar Chamber (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_sacrifice_room_2,Has Room: Hall of Offerings (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_storm_room_2,Has Room: Hurricane Engine (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trap_room_2,Has Room: Temple Defense Workshop (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_cartography_room_2,Has Room: Office of Cartography (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_queens_chambers_2,Has Room: Hall of Lords (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_chests_2,Has Room: Warehouses (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_corruption_room_2,Has Room: Catalyst of Corruption (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_explosives_room_2,Has Room: Demolition Lab (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_armour_room_2,Has Room: Armoury (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_weapon_room_2,Has Room: Arena of Valour (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breeding_room_2,Has Room: Barracks (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breach_room_2,Has Room: Breach Containment Chamber (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_gem_room_2,Has Room: Department of Thaumaturgy (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_currency_vault_2,Has Room: Treasury (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trinket_room_2,Has Room: Jewellery Forge (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_workshop_2,Has Room: Engineering Department (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_empowering_room_2,Has Room: Sanctum of Unity (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_healing_room_2,Has Room: Sanctum of Vitality (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_minions_2,Has Room: Automaton Lab (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_fire_2,Has Room: Omnitect Forge (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_lightning_2,Has Room: Omnitect Reactor Plant (Tier 2),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_poison_room_3,Has Room: Toxic Grove (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_sacrifice_room_3,Has Room: Apex of Ascension (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_storm_room_3,Has Room: Storm of Corruption (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trap_room_3,Has Room: Defense Research Lab (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_cartography_room_3,Has Room: Atlas of Worlds (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_queens_chambers_3,Has Room: Throne of Atziri (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_chests_3,Has Room: Museum of Artefacts (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_corruption_room_3,Has Room: Locus of Corruption (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_explosives_room_3,Has Room: Shrine of Unmaking (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_armour_room_3,Has Room: Chamber of Iron (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_weapon_room_3,Has Room: Hall of Champions (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breeding_room_3,Has Room: Hall of War (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_breach_room_3,Has Room: House of the Others (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_gem_room_3,Has Room: Doryani's Institute (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_currency_vault_3,Has Room: Wealth of the Vaal (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_trinket_room_3,Has Room: Glittering Halls (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_workshop_3,Has Room: Factory (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_empowering_room_3,Has Room: Temple Nexus (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_healing_room_3,Has Room: Sanctum of Immortality (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_minions_3,Has Room: Hybridisation Chamber (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_fire_3,Has Room: Crucible of Flame (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_boss_lightning_3,Has Room: Conduit of Lightning (Tier 3),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_chasm_room,Has Room: Chasm,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_passageways,Has Room: Passageways,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_halls,Has Room: Halls,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_tunnels,Has Room: Tunnels,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_the_pits,Has Room: Pits,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_banquet_hall,Has Room: Banquet Hall,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_tombs,Has Room: Tombs,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_antechamber,Has Room: Antechamber,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_cellar,Has Room: Cellar,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_cloister,Has Room: Cloister,pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
pseudo.pseudo_temple_torment_1,Has Room: Torment Cells (Tier 1),pseudo,"{'options': [{'id': 1, 'text': 'Open Room'}, {'id': 2, 'text': 'Closed Room'}]}"
